comparison,comparison_label,countries,median_gap_pp,mean_gap_pp,minimum_gap_pp,maximum_gap_pp,positive_gap_count,negative_gap_count,zero_gap_count,reverse_or_tied_count
education,Secondary education or more − primary or less,70,25.631757329755402,27.504599976832672,-10.5025128286497,60.629834503041,69,1,0,1
laborforce,In labor force − out of labor force,69,17.63957098023152,20.444952666959665,1.624166677496099,53.911792520800205,69,0,0,0
income,Richest 60% − poorest 40%,69,16.7458439509395,17.143499940892553,1.2127075902412994,41.0460008333375,69,0,0,0
urbanicity,Urban − rural,69,11.3101939531568,12.014441830626803,-7.474190840606298,34.7417522558152,64,5,0,5
gender,Men − women,70,6.319821220930903,5.348452146669074,-10.7638861502071,18.7267758695544,60,10,0,10
age,Age 25+ − ages 15–24,70,0.547290231469101,0.5407686211935208,-27.206139563806502,36.37226187711,36,34,0,34
