region,countries,median_payment_2024_pct,mean_payment_2024_pct,minimum_payment_2024_pct,maximum_payment_2024_pct
High income,6,57.1724033668913,55.54779020297974,36.2395047540801,78.0862584247596
East Asia & Pacific (excluding high income),9,51.1261382223712,44.166024005786156,13.4216483675958,94.9414581306891
Europe & Central Asia (excluding high income),17,38.0865421568895,40.97731986792553,9.99354620876752,73.605838165072
Latin America & Caribbean (excluding high income),16,25.955776099696898,29.651985228030885,5.50652535696154,71.5578337734796
Sub-Saharan Africa (excluding high income),35,12.0444086841335,17.249583147862726,2.4181526171983,55.7570024721425
South Asia (excluding high income),5,9.28656569893237,9.879747671314595,2.76196135009928,18.3006494075002
Middle East & North Africa (excluding high income),10,8.881037810604125,15.570679890175228,4.10869459495707,78.6183462177346
